Paper_ID,Organism,Substrate,Substrate_Category,Temp_C,pH,Time_h,Reactor_Type,Culture_Type,Process_Mode,Continuous_System,Thermophilic,Electrofermentation,Photofermentation,Nanomaterial_Assisted,HRT_h,OLR_gL_d,Hydrogen_Yield,Yield_Unit,HPR,HPR_units,Metabolites,HPR_mL_L_h_standardized,Standardized_HPR_Unit
Ref152,Escherichia coli + Enterobacter aerogenes,"Acetate,Butyrate,Propionate,Lactate",VFA_Effluent,37.0,5.5,,Batch,CoCulture,Batch,0,0,0,0,0,,,0.33,molH2_molSubstrate,,,,,mL_H2_L_h
Ref146A,Escherichia coli WDHL,Glucose,Simple_Sugar,37.0,6.0,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.3,molH2_molGlucose,,,,,mL_H2_L_h
Ref80,Clostridium butyricum TERI BH05-2 in recombinant E.coli,Glucose,Simple_Sugar,37.0,7.0,48,Batch,Recombinant,Batch,0,0,0,0,0,,,3.2,molH2_molGlucose,,,,,mL_H2_L_h
RSE2018_T2_01,Clostridiaceae_and_Flexibacteraceae,Glucose,,35.0,5.5,,Membrane,,Continuous,0,0,0,0,0,3.3,,4.0,molH2_molGlucose,640.0,cm3_H2_L_h,"Acetate,Butyrate",640.0,mL_H2_L_h
Zagrodnik2024_SE8_MPC,MPC,DFE,VFA_Effluent,32.0,7.0,9,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,84.0,0.76,2.34,molH2_molSugar,4.83,mL_L-1_h-1,,4.83,mL_H2_L_h
Ref86,Clostridium butyricum DSM10702,Glucose,Simple_Sugar,37.0,5.5,12,Hybrid,PureCulture,Hybrid,1,0,0,0,0,,,2.61,molH2_molGlucose,,,,,mL_H2_L_h
Ref152,Escherichia coli + Enterobacter aerogenes,"Acetate,Butyrate,Propionate,Lactate",VFA_Effluent,37.0,5.5,,Batch,CoCulture,Batch,0,0,0,0,0,,,0.33,molH2_molSubstrate,,,,,mL_H2_L_h
RSE2018_T3_02,Mixed_cultures,Organic_municipal_solid_waste,,50.0,5.0,,CSTR,,Semi_continuous,0,1,0,0,0,,,,,5.7,dm3_H2_L_d,"Butyrate,Acetate",237.5,mL_H2_L_h
Zagrodnik2024_CC2_RSC,RSC,Sugar mix,Lignocellulosic_Sugars,32.0,7.5,11,Continuous_CSTR,MixedCulture,CoCulture,1,0,0,0,0,84.0,1.43,2.6,molH2_molSugar,23.29,mL_L-1_h-1,,23.29,mL_H2_L_h
Ref136,Klebsiella pneumoniae Y7_3,Corn straw,Lignocellulose,37.0,,24,Batch,PureCulture,Batch,0,0,0,0,0,,,0.18,molH2_molSubstrate,,,,,mL_H2_L_h
RSE2018_T2_11,Mixed_culture,Sucrose,,35.0,5.5,,Fermenter,,Batch,0,0,0,0,0,,,2.0,molH2_molGlucose,1504.0,cm3_H2_h,"Acetate,Butyrate",1504.0,mL_H2_L_h
Ref149C,Escherichia coli XL1_Blue,Xylose,Pentose,35.0,6.5,,Batch,PureCulture,Batch,0,0,0,0,0,,,0.69,molH2_molXylose,,,,,mL_H2_L_h
Ref153,Escherichia coli + Enterobacter aerogenes,"Acetate,Butyrate,Propionate,Lactate",VFA_Effluent,37.0,5.5,,Batch,CoCulture,Batch,0,0,0,0,0,,,0.15,molH2_molSubstrate,,,,,mL_H2_L_h
RSE2018_T6_05,Mixed_cultures,Grass,,35.0,7.0,,Batch,,Batch,0,0,0,0,0,,,4.39,cm3_H2_gSubstrate,3.53,cm3_H2_h,"Acetate,Propionate,Butyrate",3.53,mL_H2_L_h
RSE2018_T3_11,Facultative_anaerobic_bacteria,Raw_cassava_starch,,35.0,,,Batch,,Batch,0,0,0,0,0,,,1.44,molH2_molGlucose,,,"Butyrate,Acetate,Ethanol",,mL_H2_L_h
RSE2018_T6_03,Mixed_culture_from_sewage_sludge,Rice_straw,,55.0,6.5,,Batch,,Batch,0,1,0,0,0,,,24.8,cm3_H2_gDB,744.0,cm3_H2_L,"Acetate,Butyrate,Ethanol",744.0,mL_H2_L_h
Ref128,Klebsiella pneumoniae ECU15,"Glucose,Xylose,Cellobiose",Mixed_Sugars,37.0,6.0, ,Batch,PureCulture,Batch,0,0,0,0,0,,,2.07,molH2_molGlucose,,,,,mL_H2_L_h
Ref67,Clostridium butyricum TM-9A,Glucose,Simple_Sugar,37.0,8.0,24,Batch,PureCulture,Batch,0,0,0,0,0,,,3.1,molH2_molGlucose,,,,,mL_H2_L_h
Ref136,Klebsiella pneumoniae Y7_3,Corn straw,Lignocellulose,37.0,,24,Batch,PureCulture,Batch,0,0,0,0,0,,,0.18,molH2_molSubstrate,,,,,mL_H2_L_h
RSE2018_T6_11,Caldicellulosiruptor_saccharolyticus,Wheat_straw,,70.0,,,Batch,,Batch,0,1,0,0,0,,,3.8,molH2_molGlucose,44.68,dm3_H2_kg,Mixed acids,44.68,mL_H2_L_h
Ref108,Clostridium pasteurianum MTCC116,Glycerol,Alcohol,36.0,6.7,,Batch,PureCulture,Batch,0,0,0,0,0,,,2.5,molH2_molGlycerol,,,,,mL_H2_L_h
RSE2018_T3_10,Anaerobic_sludge_from_digester,Mixed_food_waste,,50.0,7.5,,Batch,,Batch,0,1,0,0,0,,,57.0,cm3_H2_gVS,54.2,cm3_H2_h,Mixed acids,54.2,mL_H2_L_h
Ref86,Clostridium butyricum DSM10702,Glucose,Simple_Sugar,37.0,5.5,12,Hybrid,PureCulture,Hybrid,1,0,0,0,0,,,2.61,molH2_molGlucose,,,,,mL_H2_L_h
MartinezMendoza2024_6h,MixedCulture,FruitVegetableWaste,Food_Waste,37.0,7.0,,Continuous_CSTR,MixedCulture,Continuous,1,0,0,0,0,6.0,188.1,37.9,NmLH2_gVSfed,295.83,mL_L-1_h-1,,295.83,mL_H2_L_h
Ref87,Clostridium butyricum + Sporolactobacillus vineae,Glucose,Simple_Sugar,35.0,,32,Batch,CoCulture,Batch,0,0,0,0,0,,,1.84,molH2_molGlucose,,,,,mL_H2_L_h
Ref137,Klebsiella pneumoniae ABZ11,Glucose,Simple_Sugar,34.0,6.8,48,Batch,PureCulture,Batch,0,0,0,0,0,,,2.71,molH2_molGlucose,,,,,mL_H2_L_h
Ref124,Enterobacter aerogenes ATCC13048,Mahogany wood hydrolysate,Lignocellulose,37.0,,48,Batch,PureCulture,Batch,0,0,0,0,0,,,0.03,molH2_molGlucose,,,,,mL_H2_L_h
Zagrodnik2024_SE1_RSC,RSC,Sterile DFE,VFA_Effluent,32.0,7.5,20,Continuous_CSTR,MixedCulture,Sequential,1,0,0,0,0,84.0,0.76,3.88,molH2_molSugar,18.71,mL_L-1_h-1,,18.71,mL_H2_L_h
Ref80,Clostridium butyricum TERI BH05-2 in recombinant E.coli,Glucose,Simple_Sugar,37.0,7.0,48,Batch,Recombinant,Batch,0,0,0,0,0,,,3.2,molH2_molGlucose,,,,,mL_H2_L_h
